,MOS,Dist,Ref
0,5.9706,I01_01_1.bmp,I01.BMP
1,5.4167,I01_01_2.bmp,I01.BMP
2,4.5556,I01_01_3.bmp,I01.BMP
3,4.3143,I01_01_4.bmp,I01.BMP
4,6.1429,I01_02_1.bmp,I01.BMP
5,5.7941,I01_02_2.bmp,I01.BMP
6,5.4444,I01_02_3.bmp,I01.BMP
7,4.9143,I01_02_4.bmp,I01.BMP
8,4.8056,I01_03_1.bmp,I01.BMP
9,4.0286,I01_03_2.bmp,I01.BMP
10,3.5278,I01_03_3.bmp,I01.BMP
11,2.75,I01_03_4.bmp,I01.BMP
12,6.0286,I01_04_1.bmp,I01.BMP
13,5.9714,I01_04_2.bmp,I01.BMP
14,5.7429,I01_04_3.bmp,I01.BMP
15,4.8286,I01_04_4.bmp,I01.BMP
16,5.8571,I01_05_1.bmp,I01.BMP
17,5.6111,I01_05_2.bmp,I01.BMP
18,4.8571,I01_05_3.bmp,I01.BMP
19,3.5429,I01_05_4.bmp,I01.BMP
20,4.4706,I01_06_1.bmp,I01.BMP
21,4.2286,I01_06_2.bmp,I01.BMP
22,4.0294,I01_06_3.bmp,I01.BMP
23,3.3056,I01_06_4.bmp,I01.BMP
24,4.7778,I01_07_1.bmp,I01.BMP
25,4.1111,I01_07_2.bmp,I01.BMP
26,3.2,I01_07_3.bmp,I01.BMP
27,2.1667,I01_07_4.bmp,I01.BMP
28,4.7353,I01_08_1.bmp,I01.BMP
29,3.9143,I01_08_2.bmp,I01.BMP
30,3.2778,I01_08_3.bmp,I01.BMP
31,2.1765,I01_08_4.bmp,I01.BMP
32,5.7143,I01_09_1.bmp,I01.BMP
33,4.9143,I01_09_2.bmp,I01.BMP
34,3.0,I01_09_3.bmp,I01.BMP
35,1.2,I01_09_4.bmp,I01.BMP
36,5.9444,I01_10_1.bmp,I01.BMP
37,5.1667,I01_10_2.bmp,I01.BMP
38,3.3056,I01_10_3.bmp,I01.BMP
39,1.4571,I01_10_4.bmp,I01.BMP
40,5.8,I01_11_1.bmp,I01.BMP
41,5.1667,I01_11_2.bmp,I01.BMP
42,3.5556,I01_11_3.bmp,I01.BMP
